                                                                          EXHIBIT J1
                                                                LIST OF CURRENT DEVELOPERS
                                                                   AS OF DECEMBER 31, 2025




                    Developer                                         Address                        City        State   Zip Code   Phone Number
Dream Fried Chicken Inc                        2428 Aberdeen street                          East Meadow         NY       11514     (516) 754-2004
HMC&P LLC                                      42 Holiday Pond Road                          Jericho             NY       11753     (718) 872-6036
Liberty Restaurants of Albany, LLC.            11 Allen Street                               New Hyde Park       NY       11040     (917) 495-1640
9400 LIBERTY CHICKEN LLC                       9400 LIBERTY AVE                              QUEENS              NY       11417     (347) 885-4287
UNITED HOSPITALITY MANAGEMENT LLC              135 Timberlane Court                          Yorktown Heights    NY       10598     (914) 804-8888
Gilligan-POP, LLC                              3805 Edwards Rd                               Cincinnatti         OH       45209     (513) 321-9065
SRC CRISPY CHICKEN, LLC                        7361 Daisy's Wood Lane                        Gates Mills         OH       44040     (216) 926-5795
HPC Chkn Operations LLC                        600 McGuffey Ave, Suite C-1                   Oxford              OH       45056     (510) 910-5963
Bend Foods LLC                                 61292 S Hwy 97, STE 100                       Bend                OR       97702     (202)-779-7654
PLK Investments LLC                            2375 Oakmont Way                              Eugene              OR       97401     (541) 520-4545
Turnersville Chicken Inc.                      1260 William Penn Dr,                         Bensalem            PA       19020     (609) 586-6680
Speedy Chicken LLC                             915 Gregg Ave                                 Reading             PA       19607     (201) 532-2581
OLIVE OYL RESTAURANTS LLC.                     2227 SCRANTON - CARBONDALE HIGHWAY            SCRANTON            PA       18508     (570) 291-4260
RAHMANI ENTERPRISES CORP                       1760 Jockeys Way                              Yardley             PA       19067     (215) 805-7979
Continental Superior Management Groups, L.P.   10190 Katy Freeway, Suite 350                 Houston             TX       77043     (713) 266-8799
Continental Northwest Management, LLC          12337 Jones Rd, Ste 217                       Houston             TX       77070     (281) 250-2542
THE TEXAS SAILOR, INC                          1915 Westridge Dr.                            Irving              TX       75038     (972) 849-8191
Timeless Foods, Inc.                           3405 Spectrum Boulevard                       Richardson          TX       75082     (214) 221-7599
Ace Brands, LLC                                2610 Sentry Oak Way                           Sugar Land          TX       77479     (832) 858-1144
Richpop II, LLC                                3811 Westerre Parkway, Suites E & F           Henrico             VA       23233     (804) 918-0871
MMRR 4 INC.                                    43352 Vestals Place                           Leesburg            VA       20716     (703) 589-8866



                                                                                   1

