                                                                                        List of Current Franchisees




                     Legal Entity                  Store ID               Address                                      Adress 2             City          State   Postal   Business Phone
                   CFL Pizza, LLC                   26516             767 S. State Road 434                              #1000        Altamonte Springs    FL     32714     407/522-5577
                  Ayvaz Pizza, LLC                  39430              430A Racetrack Road                                           Fort Walton Beach     FL     32547     850/863-4470
                   Hut Florida LLC                  41752            857 Highway 20, Suite 1                          850/792-2885          Freeport       FL     32439     850/792-2885
                   CFL Pizza, LLC                   27920                 5004 NW 34th St                                                 Gainesville      FL     32605     352/373-7733
                   CFL Pizza, LLC                   27921                7331 NW 4th Blvd                                                 Gainesville      FL     32607     352/332-0032
                  ADT Florida LLC                   37646              6728 Forest Hill Blvd.                                             Greenacres       FL     33413     561/439-1686
                   CFL Pizza, LLC                   36941              14405 Montevista Rd                                                Groveland        FL     34736     352/366-2585
                  Ayvaz Pizza, LLC                  39414          1169 Gulf Breeze Parkway                                               Gulf Breeze      FL     32561     850/934-1200
                   Hut Florida LLC                  40525                   35981 Hwy 27                                                  Haines City      FL     33844     863/422-5945
         Koning Restaurants International, L.C.     12374                718 N Federal Hwy                                                Hallandale       FL     33009     954/458-8800
                   Hut Florida LLC                  38690        710 US Hwy. 27 South, Ste. A                                               Havana         FL     32333     850/539-1470
         Koning Restaurants International, L.C.     12394       1213 West 44th Place, Suite 15                                              Hialeah        FL     33012     305/826-7111
         Koning Restaurants International, L.C.     12395                  1801 E 4thg Ave                                                  Hialeah        FL     33010     305/883-0050
         Koning Restaurants International, L.C.     28172               18510 NW 67th Ave.                                                  Hialeah        FL     33015     305/826-7100
         Koning Restaurants International, L.C.     12389            2750 W 68th St Ste 104                                                 Hialeah        FL     33016     305/826-4455
         Koning Restaurants International, L.C.     12393                   3901 E 4th Ave                                                  Hialeah        FL     33013     305/693-4800
         Koning Restaurants International, L.C.     12372              4506 Hollywood Blvd                                                 Hollywood       FL     33021     954/964-8777
         Koning Restaurants International, L.C.     35123                3324 NE 7th Street                                               Homestead        FL     33033     305/508-7450
         Koning Restaurants International, L.C.     35262            501 W Palm Dr Ste 103                                                Homestead        FL     33034     786/259-8103
                     Jonbro, Inc.                    9070               4845 Suncoast Blvd                                           Homosassa Springs     FL     34447     352/628-1234
                   Hut Florida LLC                  38642                 8944 SR 52 #109                                                   Hudson         FL     34667     727/862-6000
                     Jonbro, Inc.                    7172                   940 W Main St                                                  Inverness       FL     34450     352/726-4880
                   Hut Florida LLC                  38681          1020 N. Edgewood Ave. N                              Suite 17         Jacksonville      FL     32254     904/695-2122


Pizza Hut, LLC
2026 FDD | Ex. H-1 - List of Current Franchisees
1334.003.003/451550                                                                                  9

