                                                                                                                             Under
                                                                                                                             ADA?
            Franchisee                           Address                      City       State    Zip Code       Phone       Y/N)
   AGPTN Murfreesboro, LLC             1954 Old Fort Pkwy Ste 6         Murfreesboro      TN     37129-6900   615-801-8300    Yes
AGPTN Murfreesboro South, LLC               3060 S Church St            Murfreesboro      TN       37127      629-219-1422    Yes
    PF Bellevue Fitness, LLC               7657 Highway 70 S               Nashville      TN       37221      615-610-8055    Yes
    PF Charlotte Fitness, LLC              5708 Charlotte Pike             Nashville      TN       37209      615-200-7100    Yes
     PF Antioch Fitness, LLC            2381 Murfreesboro Pike             Nashville      TN       37217      615-944-0300    Yes
   PF Nolensville Fitness, LLC           4880 Nolensville Pike             Nashville      TN     37211-5410   615-333-2888    Yes
    AGPTN Oak Ridge, LLC               360 South Illinois Avenue          Oak Ridge       TN       37830      865-275-2670    Yes




                                                                   I - 32

